UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
BA,Itaju do Colônia,137,6167,3005,3162,20
BA,Itajuípe,136,15867,8238,7629,79
BA,Itamaraju,172,45360,23873,21487,167
BA,Itamari,151,6086,3086,3000,25
BA,Itambé,201,17580,8996,8584,82
BA,Itanagra,185,6765,3326,3439,23
BA,Itanhém,148,14726,7354,7372,69
BA,Itaparica,141,19829,10540,9289,65
BA,Itapebi,188,8359,4146,4213,40
BA,Itapetinga,140,47412,25108,22304,195
BA,Itapicuru,81,22986,11596,11390,77
BA,Itapitanga,135,5925,3031,2894,35
BA,Itapé,27,8382,4309,4073,32
BA,Itaquara,76,6701,3360,3341,21
BA,Itarantim,138,13776,6933,6843,49
BA,Itatim,107,12612,6454,6158,41
BA,Itiruçu,37,8852,4668,4184,41
BA,Itiúba,149,27078,13660,13418,105
BA,Itororó,137,16148,8219,7929,56
BA,Ituaçu,58,15350,7748,7602,61
BA,Ituberá,32,17622,9292,8330,67
BA,Iuiu,175,8549,4228,4321,28
BA,Jaborandi,61,10170,4995,5175,34
BA,Jacaraci,92,11629,5754,5875,39
BA,Jacobina,46,60582,32671,27911,209
BA,Jaguaquara,76,34997,18755,16242,118
BA,Jaguarari,179,22347,11350,10997,100
BA,Jaguaripe,30,15259,7711,7548,50
BA,Jandaíra,49,8904,4482,4422,33
BA,Jequié,22,65022,34715,30307,211
BA,Jequié,23,51748,27717,24031,163
BA,Jeremoabo,51,28441,14519,13922,113
BA,Jiquiriçá,109,11241,5761,5480,38
BA,Jitaúna,24,12666,6599,6067,59
BA,João Dourado,199,19253,9983,9270,60
BA,Juazeiro,47,73479,39336,34143,234
BA,Juazeiro,48,87694,46474,41220,262
BA,Jucuruçu,172,8347,3985,4362,34
BA,Jussara,159,13841,6835,7006,50
BA,Jussari,28,4660,2339,2321,23
BA,Jussiape,101,6493,3302,3191,39
BA,Lafaiete Coutinho,23,4419,2138,2281,15
BA,Lagoa Real,63,10380,5069,5311,46
BA,Laje,109,20409,10404,10005,62
BA,Lajedinho,87,3597,1753,1844,18
BA,Lajedo do Tabocal,37,6203,3174,3029,29
BA,Lajedão,153,4442,2269,2173,27
BA,Lamarão,160,8421,4326,4095,36
BA,Lapão,104,21615,11086,10529,90
BA,Lauro de Freitas,180,159491,87385,72106,396
BA,Lençóis,89,7782,4053,3729,24
BA,Licínio de Almeida,117,9704,4849,4855,32
BA,Livramento de Nossa Senhora,101,34063,17104,16959,122
BA,Luís Eduardo Magalhães,205,77761,40479,37282,240
BA,Macajuba,87,9846,5093,4753,33
BA,Macarani,91,12608,6439,6169,55
BA,Macaúbas,65,32473,16343,16130,159
BA,Macururé,158,6435,3288,3147,31
BA,Madre de Deus,162,16883,9066,7817,49
BA,Maetinga,161,6646,3290,3356,22
BA,Maiquinique,91,7205,3674,3531,27
BA,Mairi,86,13568,7142,6426,55
BA,Malhada,125,12998,6414,6584,46
BA,Malhada de Pedras,90,7742,3887,3855,29
BA,Manoel Vitorino,22,13018,6568,6450,48
BA,Mansidão,97,10504,5131,5373,42
BA,Maracás,37,21257,11032,10225,79
BA,Maragogipe,118,34522,17697,16825,124
BA,Maraú,78,16265,8006,8259,67
BA,Marcionílio Souza,193,7581,3874,3707,32
BA,Mascote,133,9089,4524,4565,43
BA,Mata de São João,185,42576,22524,20052,128
BA,Matina,113,9437,4732,4705,31
BA,Medeiros Neto,153,18395,9304,9091,84
BA,Miguel Calmon,103,19570,10155,9415,81
BA,Milagres,193,8631,4547,4084,35
BA,Mirangaba,167,12505,6483,6022,53
BA,Mirante,59,8081,3975,4106,30
